relation_idx,word1,word2,option_1,option_2,relation_name,relation_category,trial_type,correct_response,trial_idx
49,impossible,achieved,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,17
49,inviolable,violated,violated,oath,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,probe,1.0,17
31,art show,paintings,,,Event:Feature,PART-WHOLE,example,,18
31,graduation,students,,,Event:Feature,PART-WHOLE,example,,18
31,fundraiser,donations,,,Event:Feature,PART-WHOLE,example,,18
31,hockey game,puck,,,Event:Feature,PART-WHOLE,example,,18
31,memorial,flowers,town square,flowers,Event:Feature,PART-WHOLE,probe,2.0,18
32,blush,embarrassment,,,Expression,REFERENCE,example,,19
32,wink,friendliness,,,Expression,REFERENCE,example,,19
32,mope,melancholy,,,Expression,REFERENCE,example,,19
32,murmur,discontent,,,Expression,REFERENCE,example,,19
32,gawk,amazement,amazement,stare,Expression,REFERENCE,probe,1.0,19
30,marker,whiteboard,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,20
30,wax,candle,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,20
30,ice,skate,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,20
30,membership,gym,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,20
30,bullet,gun,recoil,gun,EnablingAgent:Object,CAUSE-PURPOSE,probe,2.0,20
31,cookout,burgers,,,Event:Feature,PART-WHOLE,example,,21
31,meal,food,,,Event:Feature,PART-WHOLE,example,,21
31,fair,cotton candy,,,Event:Feature,PART-WHOLE,example,,21
31,bonfire,marshmallows,,,Event:Feature,PART-WHOLE,example,,21
31,Halloween,costumes,leaf pile,costumes,Event:Feature,PART-WHOLE,probe,2.0,21
-1,baseline,baseline,,,baseline,baseline,baseline,,22
30,pump,fountain,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,23
30,water,irrigation,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,23
30,brush,paint,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,23
30,wood,fireplace,,,EnablingAgent:Object,CAUSE-PURPOSE,example,,23
30,coin,meter,card,meter,EnablingAgent:Object,CAUSE-PURPOSE,probe,2.0,23
49,indivisible,divided,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,24
49,incurable,healed,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,24
49,invulnerable,harmed,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,24
49,immeasurable,quantified,,,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,example,,24
49,inevitable,prevented,prevented,certain,ObjectAttribute:Noncondition (adjective:adjective),NON-ATTRIBUTE,probe,1.0,24
31,banquet,speeches,,,Event:Feature,PART-WHOLE,example,,25
31,coronation,crown,,,Event:Feature,PART-WHOLE,example,,25
31,audition,actor,,,Event:Feature,PART-WHOLE,example,,25
31,election,ballots,,,Event:Feature,PART-WHOLE,example,,25
31,wedding,bride,bride,honeymoon,Event:Feature,PART-WHOLE,probe,1.0,25
